CURROPER,CONTROL,DEBT_MDN,PCTFLOAN,GRAD_DEBT_MDN,PCIP11,PCIP15,PCIP14,PCIP27,CIP11BACHL,CIP15BACHL,CIP14BACHL,CIP27BACHL,PCTPELL,Clusters,clusters
1,1,15000.0,0.5549,25000.0,0.0262,0.0,0.0656,0.0096,1.0,0.0,1.0,1.0,0.3743,4,0
1,2,20500.0,0.6564,27000.0,0.0,0.0,0.0047,0.0283,0.0,0.0,1.0,1.0,0.3328,4,4
1,2,19414.5,0.7877,30083.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6089,5,4
1,2,19000.0,0.8145,38359.0,0.0,0.0,0.0,0.0219,0.0,0.0,0.0,1.0,0.7429,5,4
1,2,19000.0,0.928,32000.0,0.0256,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.9663,4,0
1,1,9833.0,0.0,14144.0,0.042,0.0531,0.0,0.0,0.0,0.0,0.0,0.0,0.6097,0,3
1,1,17750.0,0.6414,26000.0,0.0413,0.003,0.0,0.0087,2.0,2.0,0.0,2.0,0.4758,3,1
1,2,23687.5,0.7374,33250.0,0.0174,0.0,0.1512,0.0145,1.0,0.0,1.0,1.0,0.6453,4,0
1,2,16248.0,0.6068,30095.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4701,5,4
1,1,9833.0,0.0,14144.0,0.0138,0.0512,0.0,0.0,0.0,0.0,0.0,0.0,0.5844,0,3
1,1,11336.5,0.286,20675.0,0.0281,0.0548,0.0396,0.0062,2.0,2.0,2.0,2.0,0.2473,3,1
1,2,9833.0,0.2,14144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2182,5,4
1,1,11247.0,0.2676,20000.0,0.0037,0.0456,0.0688,0.0074,2.0,2.0,2.0,2.0,0.2349,3,1
1,1,11750.0,0.209,19437.5,0.0109,0.0109,0.0109,0.0027,2.0,2.0,2.0,2.0,0.1834,3,1
1,2,19250.0,0.4587,25125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2791,5,4
1,1,5500.0,0.1447,5583.0,0.0918,0.0411,0.0,0.0,0.0,0.0,0.0,0.0,0.1163,0,3
1,3,9500.0,0.4152,13000.0,0.0828,0.0622,0.0,0.0,2.0,2.0,0.0,0.0,0.6598,1,0
1,1,11336.5,0.2015,20675.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2092,0,3
1,3,8407.0,0.7894,9500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6181,2,2
0,3,6338.5,0.7408,9500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8264,2,2
0,3,7392.0,0.6598,9522.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6598,2,2
1,3,5781.0,0.7386,9046.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7843,2,2
0,2,6280.0,0.0,14144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,4
1,2,16750.0,0.6986,14144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7945,5,4
1,3,6069.0,0.7451,6215.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4933,2,2
1,3,9475.0,0.6062,9500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7255,2,2
1,3,9475.0,0.5289,9500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7296,2,2
1,3,9475.0,0.5356,9500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6507,2,2
1,2,17636.0,0.9569,25667.5,0.0253,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8431,5,0
1,3,5491.5,0.475,5975.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.575,2,2
0,3,9500.0,0.7971,13000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7742,2,2
1,3,9500.0,0.6346,9500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6609,2,2
1,1,16250.0,0.4784,20375.0,0.0273,0.0002,0.0669,0.0111,2.0,2.0,2.0,2.0,0.3376,3,1
1,1,4750.0,0.0554,6000.0,0.0129,0.0118,0.0018,0.0029,0.0,0.0,0.0,0.0,0.5803,0,3
1,1,13500.0,0.3962,19000.0,0.0123,0.0097,0.052,0.0126,2.0,2.0,2.0,2.0,0.3265,3,1
1,3,20000.0,0.6777,50437.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5308,2,2
0,3,7613.0,0.633,11789.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5724,2,2
